,City,Latitude,Longitude,ID,Temperature,Humidity,Cloudiness,Wind Speed (mph)
0,bengkulu,-3.8004,102.2655,1649150,83.66,64,49,6.98
1,ushuaia,-54.8,-68.3,3833367,41,93,75,9.22
2,ilulissat,69.2167,-51.1,3423146,28.4,69,17,3.44
3,nowy dwor gdanski,54.2131,19.1177,3090502,40.42,75,20,16.11
4,tommot,58.9564,126.2925,2015179,32.43,82,90,15.64
5,airai,-8.9266,125.4092,1651810,69.35,71,44,1.97
6,vaini,-21.2,-175.2,4032243,78.8,100,40,2.3
7,namibe,-15.1961,12.1522,3347019,80.35,74,48,1.36
8,mataura,-46.1927,168.8643,6201424,52,94,100,3
9,sharjah,25.3573,55.4033,292672,88.27,21,0,2.3
10,new norfolk,-42.7826,147.0587,2155415,53.02,51,75,18.41
11,narsaq,60.9167,-46.05,3421719,39.2,56,90,1.14
12,salalah,17.0151,54.0924,286621,86,62,0,4.61
13,severo-kurilsk,50.6789,156.125,2121385,35.46,90,85,1.81
14,mount gambier,-37.8333,140.7667,2156643,57.2,72,90,10.36
15,busselton,-33.65,115.3333,2075265,74.62,54,70,1.01
16,vaitupu,,,,,,,
17,taoudenni,22.6783,-3.9836,2450173,81.61,10,0,8.97
18,cabedelo,-6.9811,-34.8339,3404558,75.2,94,0,1.14
19,shimoda,34.6667,138.95,1852357,59.36,55,75,8.05
20,bredasdorp,-34.5322,20.0403,1015776,53.6,100,3,8.05
21,capao bonito,-24.0058,-48.3494,3467371,53.31,98,22,3.51
22,attawapiskat,,,,,,,
23,suntar,62.1444,117.6319,2015913,36.03,63,80,15.35
24,grindavik,63.8424,-22.4338,3416888,42.8,87,90,23.02
25,manado,1.487,124.8455,1636544,82.4,78,40,3.44
26,rikitea,-23.1203,-134.9692,4030556,78.1,78,93,15.75
27,naze,28.3667,129.4833,1855540,73.4,60,75,25.32
28,hilo,19.7297,-155.09,5855927,70.48,64,75,4.61
29,mar del plata,-38.0023,-57.5575,3430863,67.06,94,0,9.22
30,hasaki,35.7333,140.8333,2112802,64.45,44,20,12.66
31,ponta do sol,32.6667,-17.1,2264557,55.94,81,61,5.01
32,puerto ayora,-0.7393,-90.3518,3652764,75,96,55,4.54
33,fairbanks,64.8378,-147.7164,5861897,48,34,1,8.05
34,pisco,-13.7,-76.2167,3932145,65.68,82,1,3.44
35,atuona,-9.8,-139.0333,4020109,80.33,80,81,21.72
36,butaritari,3.0707,172.7902,2110227,83.05,73,79,9.28
37,zvishavane,-20.3267,30.0665,878549,64.81,64,3,1.05
38,pokhara,28.2333,83.9833,1282898,86.45,14,0,8.55
39,jelgava,56.65,23.7128,459279,37.4,93,90,5.75
40,hobart,-42.8794,147.3294,2163355,53.85,51,75,18.41
41,kaitangata,-46.2817,169.8464,2208248,55.99,74,100,5.99
42,ballina,-28.8667,153.5667,2177069,70.54,49,0,8.05
43,abha,18.2164,42.5053,110690,70.65,19,0,4.61
44,tiksi,71.6872,128.8694,2015306,19.81,77,100,2.82
45,kapaa,22.0752,-159.319,5848280,73,78,40,9.22
46,qaqortoq,60.7167,-46.0333,3420846,39.2,56,90,1.14
47,malkapur,20.8833,76.2,1264071,97.5,14,66,3.15
48,imbituba,-28.24,-48.6703,3461370,66.2,94,40,1.14
49,mineros,-17.1167,-63.2333,3910343,75.2,94,75,5.75
50,salina cruz,16.1667,-95.2,3520064,82.72,72,39,4.29
51,illoqqortoormiut,,,,,,,
52,seoul,37.5683,126.9778,1835848,71.04,24,0,12.66
53,toora-khem,52.4675,96.11,1489401,37.9,36,100,3.65
54,gat,31.61,34.7642,293842,66.65,72,0,8.41
55,georgetown,5.4112,100.3354,1735106,86.76,70,20,3.44
56,castro,-24.7911,-50.0119,3466704,49.71,97,21,1.66
57,peace river,56.2501,-117.286,6100069,30.2,47,40,10.36
58,petropavlovsk-kamchatskiy,53.0452,158.6483,2122104,46.4,61,70,11.18
59,wisconsin rapids,44.3836,-89.8174,5279436,37.81,52,1,3.44
