,0,City,Latitude,Longitude,ID,Temperature,Humidity,Cloudiness,Wind Speed (mph)
0,saint-joseph,saint-joseph,-21.3667,55.6167,6690296,70.3,83,90,10.36
1,peterhead,peterhead,57.5058,-1.7981,2640351,41.45,93,58,2.3
2,san patricio,san patricio,28.017,-97.5169,4726521,71.53,83,90,16.11
3,vaini,vaini,-21.2,-175.2,4032243,86,79,75,6.91
4,roebourne,roebourne,-20.7833,117.1333,2062276,81.84,21,0,17.87
5,mango,mango,27.9797,-82.3065,4163318,72.5,56,1,4.61
6,gusau,gusau,12.1628,6.6614,2339937,87.22,35,11,6.13
7,mahebourg,mahebourg,-20.4081,57.7,934322,75.2,94,75,18.41
8,albany,albany,42.6001,-73.9662,5106841,38.12,49,17,13.09
9,bredasdorp,bredasdorp,-34.5322,20.0403,1015776,50,93,6,2.3
10,taolanaro,taolanaro,,,,,,,
11,ballaghaderreen,ballaghaderreen,53.9,-8.5833,2966784,45,62,94,1.99
12,caravelas,caravelas,-17.7125,-39.2481,3466980,72.68,89,86,4.54
13,kijang,kijang,35.2442,129.2139,1842966,64.4,45,0,14.97
14,bandarbeyla,bandarbeyla,9.4942,50.8122,64814,81.55,76,83,0.29
15,puerto ayora,puerto ayora,-0.7393,-90.3518,3652764,77,94,45,5.01
16,kapaa,kapaa,22.0752,-159.319,5848280,79.14,65,1,11.5
17,atuona,atuona,-9.8,-139.0333,4020109,80.65,78,82,19.82
18,busselton,busselton,-33.65,115.3333,2075265,65.07,57,17,7.02
19,severo-kurilsk,severo-kurilsk,50.6789,156.125,2121385,36.36,91,80,3.71
20,bow island,bow island,49.8668,-111.3684,5906757,34.12,55,100,14.97
21,tura,tura,25.5198,90.2201,1254046,75.9,52,0,2.28
22,castro,castro,-24.7911,-50.0119,3466704,53.83,91,20,3.51
23,tutoia,tutoia,-2.7619,-42.2744,3385899,78.49,80,100,3.8
24,hamilton,hamilton,39.1834,-84.5333,4513583,47.61,30,1,6.91
25,norsup,norsup,-16.0667,167.3833,2135517,85.78,68,26,11.25
26,karachi,karachi,24.9056,67.0822,1174872,80.6,83,40,11.5
27,hermanus,hermanus,-34.4187,19.2345,3366880,57.99,87,0,1.01
28,novokruchininskiy,novokruchininskiy,51.7833,113.7667,2018925,33.8,25,100,13.42
29,alexandria,alexandria,31.2156,29.9553,361058,60.8,82,0,6.91
30,attawapiskat,attawapiskat,,,,,,,
31,kulunda,kulunda,52.566,78.9385,1501460,32.9,61,0,9.71
32,whitehorse,whitehorse,60.7161,-135.0538,6180550,44.29,26,1,4.61
33,charters towers,charters towers,-20.1,146.2667,2171722,66.22,94,100,8.28
34,bluff,bluff,-46.6,168.3333,2206939,57,74,100,8.99
35,nouadhibou,nouadhibou,20.931,-17.0347,2377457,64.4,82,0,17.27
36,provideniya,provideniya,64.3833,-173.3,4031574,41,48,0,11.18
37,kincardine,kincardine,56.0667,-3.7167,2645525,40.57,93,0,1.14
38,bremerton,bremerton,47.5673,-122.6326,5788054,61.66,55,40,9.22
39,cabo san lucas,cabo san lucas,22.8909,-109.9124,3985710,78.22,29,20,12.66
40,upernavik,upernavik,72.7868,-56.1549,3418910,17.29,90,100,4.52
41,ushuaia,ushuaia,-54.8,-68.3,3833367,42.8,87,75,12.66
42,cidreira,cidreira,-30.1811,-50.2056,3466165,69.78,73,6,15.64
43,la ronge,la ronge,55.1001,-105.2842,6050066,26.6,43,100,13.8
44,rikitea,rikitea,-23.1203,-134.9692,4030556,78.01,76,100,13.85
45,broome,broome,42.2506,-75.833,5110365,32.43,86,90,8.05
46,tuktoyaktuk,tuktoyaktuk,69.4541,-133.0374,6170031,12.2,73,75,5.75
47,punta arenas,punta arenas,-53.15,-70.9167,3874787,46.2,93,75,5.75
48,grand river south east,grand river south east,,,,,,,
49,adrar,adrar,20.5022,-10.0711,2381972,76.23,13,0,11.23
50,butaritari,butaritari,3.0707,172.7902,2110227,82.6,74,95,9.95
51,kodiak,kodiak,57.79,-152.4072,5866583,42.8,93,90,10.36
52,hambantota,hambantota,6.1241,81.1185,1244926,77,100,20,4.61
53,muros,muros,42.7762,-9.0603,3115824,50.13,92,100,5.86
54,tigbinan,tigbinan,14.1865,122.4692,1682219,83.62,70,68,5.06
55,te anau,te anau,-45.4167,167.7167,2181625,54.03,72,100,7.47
56,malmesbury,malmesbury,-33.4608,18.7271,3364346,56.17,100,90,14.97
57,jumla,jumla,29.2747,82.1838,1283285,40.39,68,1,5.14
